,question,question_02,question_12,question_22,var_02,var_12,var_22,score,COMMON_VAR
0,Place of living: urban - rural,Type of community: urban-rural self-ass (URBRURAL),Place of living: urban - rural,Place of living: urban - rural,v358,URBRURAL,URBRURAL,1.0,urban_rural
1,Top-Bottom self-placement,R:Top Bottom self-placement 10 pt scale (TOPBOT),Top-Bottom self-placement,Top-Bottom self-placement,v291,TOPBOT,TOPBOT,1.0,TOPBOT
2,"Spouse, partner: main status",S-P: Current employment status (SPWRKST),"Spouse, partner: main status","Spouse, partner: main status",v246,SPMAINST,SPMAINST,1.0,spouse_work_status
3,"Spouse, partner: hours worked weekly",Q27 Spouse: hours worked weekly,"Spouse, partner: hours worked weekly","Spouse, partner: hours worked weekly",v71,SPWRKHRS,SPWRKHRS,1.0,SPWRKHRS
4,SEX,R: Sex (SEX),Sex of Respondent,Sex of Respondent,v200,SEX,SEX,1.0,sex
5,Sample Prefix ISO 3166 Code - alphanumeric,Sample Prefix ISO 3166 Code - alphanumeric,Country Prefix ISO 3166 Code - alphanumeric,Country/ Sample Prefix ISO 3166 code - alphanumeric,C_ALPHAN,C_ALPHAN,c_alphan,0.938,C_ALPHAN
6,Q4e Couple livg together without marriage,Q4e Couple livg together without marriage,Q4c Marriage: Couple living together without marriage ok,Q4d Couple living together without marriage ok,v22,V16,v14,0.944,LIVWOMAR
7,Q3c Shld women work:youngest kid at school,Q3c Shld women work:youngest kid at school,Q3b Should women work: Youngest kid at school,Q3b Should women work: youngest kid at school,v16,V13,v10,0.944,WWYKS
8,Q3b Shld women work:child under school age,Q3b Shld women work:child under school age,Q3a Should women work: Child under school age,Q3a Should women work: child under school age,v15,V12,v9,0.948,WWYKUS
9,"Q32 Spouse, partner degree: Highest completed degree of education - cat for international comparison",Q26 Spouse degree: highest qualification,"Q32 Spouse, partner degree: Highest completed degree of education - cat for international comparison",ISCED 2011 simplified: highest completed degree of education of spouse/ partner,v70,V65,SPEDULEV,1.0,SP_DEGREE
10,Q2d Men should do larger share of childcare,Q2d Men should do larger share of childcare,,Q2b Mother or father better suited to look after children,v13,,v8,1.0,MOMORFAF
11,"Q2b Men's job earn money, women's job look after home","Q2b Men's job is work,women's job household","Q2b Men's job earn money, women's job look after home","Q1f Men's job earn money, women's job look after home",v11,V11,v6,0.965,MEWH
12,"Q24c Number of people in hh: kids up to 5,6","Q24c Number of people in hh: kids up to 5,6",How many toddlers in household: children up to [school age -1] years,How many children below school age in household,v67,HHTODD,HHTODD,1.0,HHTODD
13,"Q24b How many people in hh:kids 6,7 - 17 yrs","Q24b How many people in hh:kids 6,7 - 17 yrs",How many children in household: children between [school age] and 17 years of age,How many children above school entry age in household,v66,HHCHILDR,HHCHILDR,1.0,HHCHILDR
14,Q24a How many people in hh: adults 18 yrs +,Q24a How many people in hh: adults 18 yrs +,,How many adults in household,v65,,HHADULT,1.0,HHADULT
15,Q23b Difficult to fulfill family responsibility,Q16b Difficult to fulfil fam.responsibility,Q23b Difficult to fulfill family responsibility,Q20b Difficult to fulfill family responsibilities,v49,V52,v47,1.0,FAM_DIF
16,Q22 Who has the higher income,Q14 Who has the higher income?,Q22 Who has the higher income,,v43,V50,,1.0,code_higher_income
17,Q20 Sharing of household work between partners,Q10 Sharing of hh work between the partners,Q20 Sharing of household work between partners,Q19 Sharing of household work between partners,v38,V48,v45,0.963,SHARE_HH
18,Q1e Working woman: Being housewife is as fulfilling as working for pay,Q1e Household satisfies as much as paid job,Q1e Working woman: Being housewife is as fulfilling as working for pay,Q1e Being housewife is as fulfilling as working for pay,v8,V9,v5,0.964,HW_FULFIL
19,Q1d What women really want is home & kids,Q1d What women really want is home & kids,Q1d Working woman: What women really want is home and kids,Q1d What women really want is home and kids,v7,V8,v4,0.957,WO_WANT
20,Q1c Workg woman: family life suffers,Q1c Workg woman: family life suffers,Q1c Working woman: Family life suffers when woman has full-time job,Q1c Family life suffers when woman has full-time job,v6,V7,v3,0.931,WW_FAM_SUFFER
