Variable,Variable_Code,Year,Correlation,P_Value,Significant,Method,N,Category
How many persons in household,HOMPOP,2002,-0.053272799347678174,3.035928666747497e-30,Yes,Pearson,45954,Composition
How many persons in household,HOMPOP,2012,-0.09361299227476462,1.7126678039919535e-109,Yes,Pearson,56152,Composition
How many persons in household,HOMPOP,2022,-0.14702734605322043,2.8719714292666447e-214,Yes,Pearson,44665,Composition
Q24a How many people in hh: adults 18 yrs +,HHADULT,2002,-0.06220091397273531,1.259801732912852e-37,Yes,Pearson,42403,Composition
Q24a How many people in hh: adults 18 yrs +,HHADULT,2022,-0.12265964167481391,2.5917530804233474e-147,Yes,Pearson,44073,Composition
"Q24b How many people in hh:kids 6,7 - 17 yrs",HHCHILDR,2002,-0.08504796733667191,1.0358612042543038e-23,Yes,Pearson,13883,Composition
"Q24b How many people in hh:kids 6,7 - 17 yrs",HHCHILDR,2012,-0.029978598688943855,1.2017907064560571e-12,Yes,Pearson,56150,Composition
"Q24b How many people in hh:kids 6,7 - 17 yrs",HHCHILDR,2022,-0.07759110402053684,7.851349217391864e-59,Yes,Pearson,43317,Composition
"Q24c Number of people in hh: kids up to 5,6",HHTODD,2002,-0.07208106230165467,9.246112951026655e-10,Yes,Pearson,7197,Composition
"Q24c Number of people in hh: kids up to 5,6",HHTODD,2012,-0.07464940380676544,3.58494960752483e-70,Yes,Pearson,56122,Composition
"Q24c Number of people in hh: kids up to 5,6",HHTODD,2022,-0.0869604488778428,1.424887089154362e-70,Yes,Pearson,41558,Composition
Q16a How many hours spend on household work,hh_wrk_hrs,2002,-0.14385574747303426,3.33755149124542e-138,Yes,Pearson,29948,Work
Q16a How many hours spend on household work,hh_wrk_hrs,2012,-0.1346789094237836,1.0583040916043592e-227,Yes,Pearson,56701,Work
Q16a How many hours spend on household work,hh_wrk_hrs,2022,-0.1729032525314487,3.1576484142024763e-290,Yes,Pearson,43676,Work
Q16b How many hours spend on family members,HH_FAM,2012,-0.016146227289846847,0.00016908356644149524,Yes,Pearson,54260,Work
Q16b How many hours spend on family members,HH_FAM,2022,-0.05310809224219319,1.548248830929928e-27,Yes,Pearson,41860,Work
"Q17a How many hours spouse, partner works on household",SP_HH,2002,-0.19555832147738128,1.0306362757641986e-240,Yes,Pearson,28154,Work
"Q17a How many hours spouse, partner works on household",SP_HH,2012,-0.17757493883520192,6.37467739017901e-248,Yes,Pearson,35298,Work
"Q17a How many hours spouse, partner works on household",SP_HH,2022,-0.1979479086349603,3.4117123993494956e-228,Yes,Pearson,26024,Work
"Q17b How many hours spouse, partner spends on family members",SP_HH_FAM,2012,-0.016076046358463103,0.0029305141793620954,Yes,Pearson,34243,Work
"Q17b How many hours spouse, partner spends on family members",SP_HH_FAM,2022,-0.0758413443330194,1.8517391466531772e-33,Yes,Pearson,25190,Work
Q19a Division of household work: Doing the laundry,DIV_HH_LAUND,2002,0.050393288312244454,2.2262756015732046e-18,Yes,Spearman,30080,Division
